asset_a,asset_b,start_date,end_date,observations,correlation,coint_stat,coint_pvalue,adf_stat,adf_pvalue,hedge_ratio,half_life,spread_mean,spread_std,selected
XRP/USDT:USDT,ADA/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.9198755565451643,-2.782672893436354,0.17126010240598716,-2.7832992948478537,0.06069922871331936,0.5611388393843847,300.8307577668658,1.1772687432720075,0.06921361274006439,False
XRP/USDT:USDT,DOGE/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.9385145981824236,-2.7165748601177486,0.19367407569866307,-2.717095174197492,0.0711264860695829,0.7533031584399306,246.14079309753595,2.1769656210138066,0.06092464563098244,False
XRP/USDT:USDT,AVAX/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.8777219400556711,-2.2892729420604945,0.3789175336479547,-2.2891504750460783,0.17549103908611796,0.5555529969496106,363.06516480236485,-0.7401744598611939,0.08455949414794141,False
XRP/USDT:USDT,LINK/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.8563435404301599,-1.4150760416124473,0.792298881270722,-1.4145498208291853,0.5752812173164097,0.6306025702441931,589.4201148146133,-0.8592180710934226,0.09113059821218376,False
XRP/USDT:USDT,DOT/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.830513074771071,-2.5960188384967244,0.23843762825361692,-2.5968659413849293,0.0936467452464857,0.5438596040410849,388.5063226599725,0.28311692629817836,0.09829399444593545,False
XRP/USDT:USDT,LTC/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.9335856534714312,-3.361620262955031,0.04679568868812218,-3.3611859382439526,0.012355385279160023,1.1079028114098737,121.07577667520255,-4.153623433104531,0.06323901918296092,True
XRP/USDT:USDT,BCH/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.3316491766233869,-0.2570928275262884,0.9777629638389989,-0.25663319448971017,0.9314257535443746,0.6248138814020039,5254.374417963975,-3.003602423274719,0.1664828961252673,False
XRP/USDT:USDT,ATOM/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.8152140988187898,-2.503977053988199,0.27731784378578,-2.5040775872723087,0.11448535346555011,0.49730501392940235,397.10134367227215,0.2941759706828796,0.10220468646004395,False
XRP/USDT:USDT,NEAR/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.8705587515282496,-2.9495572025883505,0.12268790881566544,-2.9505398541474257,0.03977868018177899,0.778613252875842,267.04014414704983,0.2741340971751578,0.08683493614768015,False
XRP/USDT:USDT,APT/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.7503509685705351,-2.2731030607581917,0.3870480814481128,-2.2729726311603766,0.18083303275502083,0.35314015238871477,461.73612894606305,0.4747578461552401,0.11665409221447015,False
